comment

16 atoms

2 atom types

-100.0 100.0 xlo xhi
-100.0 100.0 ylo yhi
-100.0 100.0 zlo zhi

Atoms

1 1  0 0 0 
2 2  0 0 -2.0
3 2  0.0 1.0 -1.0
4 2  -0.8660254037844386 0.5000000000000001 -1.0
5 2  -0.8660254037844388 -0.4999999999999998 -1.0
6 2  -1.2246467991473532e-16 -1.0 -1.0
7 2  0.8660254037844384 -0.5000000000000004 -1.0
8 2  0.866025403784439 0.4999999999999993 -1.0
9 2  -0.7071067811865475 0.7071067811865476 0.6 
10 2  -0.7071067811865476 -0.7071067811865475 0.6 
11 2  0.7071067811865475 -0.7071067811865477 0.6 
12 2  0.7071067811865477 0.7071067811865475 0.6 
13 2  -1.0 0.0 1.0 
14 2  1.0 0.0 1.0 
15 2  0 -0.3 2.0 
16 2  0 0.3 2.0 
